block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
1,gen1,p,1,1,0,3878.000000,Basic
1,gen1,p,2,2,0,3572.000000,Basic
1,gen1,p,3,3,0,3394.000000,Basic
1,gen1,p,4,4,0,3348.000000,Basic
1,gen1,p,5,5,0,3395.000000,Basic
1,gen1,p,6,6,0,3672.000000,Basic
1,gen1,p,7,7,0,4093.000000,Basic
1,gen1,p,8,8,0,4529.000000,Basic
1,gen1,p,9,9,0,4587.000000,Basic
1,gen1,p,10,10,0,4723.000000,Basic
1,gen1,p,11,11,0,4893.000000,Basic
1,gen1,p,12,12,0,4794.000000,Basic
1,gen1,p,13,13,0,4765.000000,Basic
1,gen1,p,14,14,0,4329.000000,Basic
1,gen1,p,15,15,0,4155.000000,Basic
1,gen1,p,16,16,0,4186.000000,Basic
1,gen1,p,17,17,0,4034.000000,Basic
1,gen1,p,18,18,0,4543.000000,Basic
1,gen1,p,19,19,0,5213.000000,Basic
1,gen1,p,20,20,0,5216.000000,Basic
1,gen1,p,21,21,0,4978.000000,Basic
1,gen1,p,22,22,0,4578.000000,Basic
1,gen1,p,23,23,0,4535.000000,Basic
1,gen1,p,24,24,0,4283.000000,Basic
1,gen1,p,25,25,0,4044.000000,Basic
1,gen1,p,26,26,0,3960.000000,Basic
1,gen1,p,27,27,0,3696.000000,Basic
1,gen1,p,28,28,0,3815.000000,Basic
1,gen1,p,29,29,0,3990.000000,Basic
1,gen1,p,30,30,0,4341.000000,Basic
1,gen1,p,31,31,0,4869.000000,Basic
1,gen1,p,32,32,0,5467.000000,Basic
1,gen1,p,33,33,0,5577.000000,Basic
1,gen1,p,34,34,0,5952.000000,Basic
1,gen1,p,35,35,0,5828.000000,Basic
1,gen1,p,36,36,0,5812.000000,Basic
1,gen1,p,37,37,0,5851.000000,Basic
1,gen1,p,38,38,0,5470.000000,Basic
1,gen1,p,39,39,0,5266.000000,Basic
1,gen1,p,40,40,0,5134.000000,Basic
1,gen1,p,41,41,0,5069.000000,Basic
1,gen1,p,42,42,0,5465.000000,Basic
1,gen1,p,43,43,0,5790.000000,Basic
1,gen1,p,44,44,0,5643.000000,Basic
1,gen1,p,45,45,0,5161.000000,Basic
1,gen1,p,46,46,0,5025.000000,Basic
1,gen1,p,47,47,0,5244.000000,Basic
1,gen1,p,48,48,0,5242.000000,Basic
1,gen1,p,49,49,0,4874.000000,Basic
1,gen1,p,50,50,0,4358.000000,Basic
1,gen1,p,51,51,0,4044.000000,Basic
1,gen1,p,52,52,0,3951.000000,Basic
1,gen1,p,53,53,0,3796.000000,Basic
1,gen1,p,54,54,0,4093.000000,Basic
1,gen1,p,55,55,0,4746.000000,Basic
1,gen1,p,56,56,0,5318.000000,Basic
1,gen1,p,57,57,0,5568.000000,Basic
1,gen1,p,58,58,0,5597.000000,Basic
1,gen1,p,59,59,0,5483.000000,Basic
1,gen1,p,60,60,0,5527.000000,Basic
1,gen1,p,61,61,0,5437.000000,Basic
1,gen1,p,62,62,0,4993.000000,Basic
1,gen1,p,63,63,0,4872.000000,Basic
1,gen1,p,64,64,0,4672.000000,Basic
1,gen1,p,65,65,0,4858.000000,Basic
1,gen1,p,66,66,0,5118.000000,Basic
1,gen1,p,67,67,0,5433.000000,Basic
1,gen1,p,68,68,0,5186.000000,Basic
1,gen1,p,69,69,0,4408.000000,Basic
1,gen1,p,70,70,0,4146.000000,Basic
1,gen1,p,71,71,0,4309.000000,Basic
1,gen1,p,72,72,0,4184.000000,Basic
1,gen1,p,73,73,0,3916.000000,Basic
1,gen1,p,74,74,0,3310.000000,Basic
1,gen1,p,75,75,0,3192.000000,Basic
1,gen1,p,76,76,0,3027.000000,Basic
1,gen1,p,77,77,0,2980.000000,Basic
1,gen1,p,78,78,0,2987.000000,Basic
1,gen1,p,79,79,0,3372.000000,Basic
1,gen1,p,80,80,0,3621.000000,Basic
1,gen1,p,81,81,0,3925.000000,Basic
1,gen1,p,82,82,0,4451.000000,Basic
1,gen1,p,83,83,0,4302.000000,Basic
1,gen1,p,84,84,0,4487.000000,Basic
1,gen1,p,85,85,0,4267.000000,Basic
1,gen1,p,86,86,0,3925.000000,Basic
1,gen1,p,87,87,0,3735.000000,Basic
1,gen1,p,88,88,0,3623.000000,Basic
1,gen1,p,89,89,0,3577.000000,Basic
1,gen1,p,90,90,0,4059.000000,Basic
1,gen1,p,91,91,0,4361.000000,Basic
1,gen1,p,92,92,0,4214.000000,Basic
1,gen1,p,93,93,0,4031.000000,Basic
1,gen1,p,94,94,0,3831.000000,Basic
1,gen1,p,95,95,0,4174.000000,Basic
1,gen1,p,96,96,0,4116.000000,Basic
1,gen1,p,97,97,0,3855.000000,Basic
1,gen1,p,98,98,0,3584.000000,Basic
1,gen1,p,99,99,0,3626.000000,Basic
1,gen1,p,100,100,0,3674.000000,Basic
1,gen1,p,101,101,0,3588.000000,Basic
1,gen1,p,102,102,0,3891.000000,Basic
1,gen1,p,103,103,0,4268.000000,Basic
1,gen1,p,104,104,0,4981.000000,Basic
1,gen1,p,105,105,0,5238.000000,Basic
1,gen1,p,106,106,0,5183.000000,Basic
1,gen1,p,107,107,0,5215.000000,Basic
1,gen1,p,108,108,0,5034.000000,Basic
1,gen1,p,109,109,0,4907.000000,Basic
1,gen1,p,110,110,0,4545.000000,Basic
1,gen1,p,111,111,0,4270.000000,Basic
1,gen1,p,112,112,0,3911.000000,Basic
1,gen1,p,113,113,0,4095.000000,Basic
1,gen1,p,114,114,0,4570.000000,Basic
1,gen1,p,115,115,0,4844.000000,Basic
1,gen1,p,116,116,0,4786.000000,Basic
1,gen1,p,117,117,0,4098.000000,Basic
1,gen1,p,118,118,0,3395.000000,Basic
1,gen1,p,119,119,0,3279.000000,Basic
1,gen1,p,120,120,0,3366.000000,Basic
1,gen1,p,121,121,0,3010.000000,Basic
1,gen1,p,122,122,0,2541.000000,Basic
1,gen1,p,123,123,0,2318.000000,Basic
1,gen1,p,124,124,0,1884.000000,Basic
1,gen1,p,125,125,0,1826.000000,Basic
1,gen1,p,126,126,0,1982.000000,Basic
1,gen1,p,127,127,0,2253.000000,Basic
1,gen1,p,128,128,0,2609.000000,Basic
1,gen1,p,129,129,0,3250.000000,Basic
1,gen1,p,130,130,0,3790.000000,Basic
1,gen1,p,131,131,0,3812.000000,Basic
1,gen1,p,132,132,0,3930.000000,Basic
1,gen1,p,133,133,0,3836.000000,Basic
1,gen1,p,134,134,0,3603.000000,Basic
1,gen1,p,135,135,0,3439.000000,Basic
1,gen1,p,136,136,0,3601.000000,Basic
1,gen1,p,137,137,0,3536.000000,Basic
1,gen1,p,138,138,0,3585.000000,Basic
1,gen1,p,139,139,0,3655.000000,Basic
1,gen1,p,140,140,0,3877.000000,Basic
1,gen1,p,141,141,0,3389.000000,Basic
1,gen1,p,142,142,0,3491.000000,Basic
1,gen1,p,143,143,0,4023.000000,Basic
1,gen1,p,144,144,0,4478.000000,Basic
1,gen1,p,145,145,0,4058.000000,Basic
1,gen1,p,146,146,0,3665.000000,Basic
1,gen1,p,147,147,0,3344.000000,Basic
1,gen1,p,148,148,0,2908.000000,Basic
1,gen1,p,149,149,0,2712.000000,Basic
1,gen1,p,150,150,0,2627.000000,Basic
1,gen1,p,151,151,0,3006.000000,Basic
1,gen1,p,152,152,0,3049.000000,Basic
1,gen1,p,153,153,0,3111.000000,Basic
1,gen1,p,154,154,0,3356.000000,Basic
1,gen1,p,155,155,0,3637.000000,Basic
1,gen1,p,156,156,0,3854.000000,Basic
1,gen1,p,157,157,0,4314.000000,Basic
1,gen1,p,158,158,0,4220.000000,Basic
1,gen1,p,159,159,0,4236.000000,Basic
1,gen1,p,160,160,0,4271.000000,Basic
1,gen1,p,161,161,0,4151.000000,Basic
1,gen1,p,162,162,0,4566.000000,Basic
1,gen1,p,163,163,0,4960.000000,Basic
1,gen1,p,164,164,0,4965.000000,Basic
1,gen1,p,165,165,0,4783.000000,Basic
1,gen1,p,166,166,0,4561.000000,Basic
1,gen1,p,167,167,0,4546.000000,Basic
1,gen1,p,168,168,0,4314.000000,Basic
1,gen1,p,1,1,1,3878.000000,Basic
1,gen1,p,2,2,1,3572.000000,Basic
1,gen1,p,3,3,1,3394.000000,Basic
1,gen1,p,4,4,1,3348.000000,Basic
1,gen1,p,5,5,1,3395.000000,Basic
1,gen1,p,6,6,1,3672.000000,Basic
1,gen1,p,7,7,1,4093.000000,Basic
1,gen1,p,8,8,1,4529.000000,Basic
1,gen1,p,9,9,1,4587.000000,Basic
1,gen1,p,10,10,1,4723.000000,Basic
1,gen1,p,11,11,1,4893.000000,Basic
1,gen1,p,12,12,1,4794.000000,Basic
1,gen1,p,13,13,1,4765.000000,Basic
1,gen1,p,14,14,1,4329.000000,Basic
1,gen1,p,15,15,1,4155.000000,Basic
1,gen1,p,16,16,1,4186.000000,Basic
1,gen1,p,17,17,1,4034.000000,Basic
1,gen1,p,18,18,1,4543.000000,Basic
1,gen1,p,19,19,1,5213.000000,Basic
1,gen1,p,20,20,1,5216.000000,Basic
1,gen1,p,21,21,1,4978.000000,Basic
1,gen1,p,22,22,1,4578.000000,Basic
1,gen1,p,23,23,1,4535.000000,Basic
1,gen1,p,24,24,1,4283.000000,Basic
1,gen1,p,25,25,1,4044.000000,Basic
1,gen1,p,26,26,1,3960.000000,Basic
1,gen1,p,27,27,1,3696.000000,Basic
1,gen1,p,28,28,1,3815.000000,Basic
1,gen1,p,29,29,1,3990.000000,Basic
1,gen1,p,30,30,1,4341.000000,Basic
1,gen1,p,31,31,1,4869.000000,Basic
1,gen1,p,32,32,1,5467.000000,Basic
1,gen1,p,33,33,1,5577.000000,Basic
1,gen1,p,34,34,1,5952.000000,Basic
1,gen1,p,35,35,1,5828.000000,Basic
1,gen1,p,36,36,1,5812.000000,Basic
1,gen1,p,37,37,1,5851.000000,Basic
1,gen1,p,38,38,1,5470.000000,Basic
1,gen1,p,39,39,1,5266.000000,Basic
1,gen1,p,40,40,1,5134.000000,Basic
1,gen1,p,41,41,1,5069.000000,Basic
1,gen1,p,42,42,1,5465.000000,Basic
1,gen1,p,43,43,1,5790.000000,Basic
1,gen1,p,44,44,1,5643.000000,Basic
1,gen1,p,45,45,1,5161.000000,Basic
1,gen1,p,46,46,1,5025.000000,Basic
1,gen1,p,47,47,1,5244.000000,Basic
1,gen1,p,48,48,1,5242.000000,Basic
1,gen1,p,49,49,1,4874.000000,Basic
1,gen1,p,50,50,1,4358.000000,Basic
1,gen1,p,51,51,1,4044.000000,Basic
1,gen1,p,52,52,1,3951.000000,Basic
1,gen1,p,53,53,1,3796.000000,Basic
1,gen1,p,54,54,1,4093.000000,Basic
1,gen1,p,55,55,1,4746.000000,Basic
1,gen1,p,56,56,1,5318.000000,Basic
1,gen1,p,57,57,1,5568.000000,Basic
1,gen1,p,58,58,1,5597.000000,Basic
1,gen1,p,59,59,1,5483.000000,Basic
1,gen1,p,60,60,1,5527.000000,Basic
1,gen1,p,61,61,1,5437.000000,Basic
1,gen1,p,62,62,1,4993.000000,Basic
1,gen1,p,63,63,1,4872.000000,Basic
1,gen1,p,64,64,1,4672.000000,Basic
1,gen1,p,65,65,1,4858.000000,Basic
1,gen1,p,66,66,1,5118.000000,Basic
1,gen1,p,67,67,1,5433.000000,Basic
1,gen1,p,68,68,1,5186.000000,Basic
1,gen1,p,69,69,1,4408.000000,Basic
1,gen1,p,70,70,1,4146.000000,Basic
1,gen1,p,71,71,1,4309.000000,Basic
1,gen1,p,72,72,1,4184.000000,Basic
1,gen1,p,73,73,1,3916.000000,Basic
1,gen1,p,74,74,1,3310.000000,Basic
1,gen1,p,75,75,1,3192.000000,Basic
1,gen1,p,76,76,1,3027.000000,Basic
1,gen1,p,77,77,1,2980.000000,Basic
1,gen1,p,78,78,1,2987.000000,Basic
1,gen1,p,79,79,1,3372.000000,Basic
1,gen1,p,80,80,1,3621.000000,Basic
1,gen1,p,81,81,1,3925.000000,Basic
1,gen1,p,82,82,1,4451.000000,Basic
1,gen1,p,83,83,1,4302.000000,Basic
1,gen1,p,84,84,1,4487.000000,Basic
1,gen1,p,85,85,1,4267.000000,Basic
1,gen1,p,86,86,1,3925.000000,Basic
1,gen1,p,87,87,1,3735.000000,Basic
1,gen1,p,88,88,1,3623.000000,Basic
1,gen1,p,89,89,1,3577.000000,Basic
1,gen1,p,90,90,1,4059.000000,Basic
1,gen1,p,91,91,1,4361.000000,Basic
1,gen1,p,92,92,1,4214.000000,Basic
1,gen1,p,93,93,1,4031.000000,Basic
1,gen1,p,94,94,1,3831.000000,Basic
1,gen1,p,95,95,1,4174.000000,Basic
1,gen1,p,96,96,1,4116.000000,Basic
1,gen1,p,97,97,1,3855.000000,Basic
1,gen1,p,98,98,1,3584.000000,Basic
1,gen1,p,99,99,1,3626.000000,Basic
1,gen1,p,100,100,1,3674.000000,Basic
1,gen1,p,101,101,1,3588.000000,Basic
1,gen1,p,102,102,1,3891.000000,Basic
1,gen1,p,103,103,1,4268.000000,Basic
1,gen1,p,104,104,1,4981.000000,Basic
1,gen1,p,105,105,1,5238.000000,Basic
1,gen1,p,106,106,1,5183.000000,Basic
1,gen1,p,107,107,1,5215.000000,Basic
1,gen1,p,108,108,1,5034.000000,Basic
1,gen1,p,109,109,1,4907.000000,Basic
1,gen1,p,110,110,1,4545.000000,Basic
1,gen1,p,111,111,1,4270.000000,Basic
1,gen1,p,112,112,1,3911.000000,Basic
1,gen1,p,113,113,1,4095.000000,Basic
1,gen1,p,114,114,1,4570.000000,Basic
1,gen1,p,115,115,1,4844.000000,Basic
1,gen1,p,116,116,1,4786.000000,Basic
1,gen1,p,117,117,1,4098.000000,Basic
1,gen1,p,118,118,1,3395.000000,Basic
1,gen1,p,119,119,1,3279.000000,Basic
1,gen1,p,120,120,1,3366.000000,Basic
1,gen1,p,121,121,1,3010.000000,Basic
1,gen1,p,122,122,1,2541.000000,Basic
1,gen1,p,123,123,1,2318.000000,Basic
1,gen1,p,124,124,1,1884.000000,Basic
1,gen1,p,125,125,1,1826.000000,Basic
1,gen1,p,126,126,1,1982.000000,Basic
1,gen1,p,127,127,1,2253.000000,Basic
1,gen1,p,128,128,1,2609.000000,Basic
1,gen1,p,129,129,1,3250.000000,Basic
1,gen1,p,130,130,1,3790.000000,Basic
1,gen1,p,131,131,1,3812.000000,Basic
1,gen1,p,132,132,1,3930.000000,Basic
1,gen1,p,133,133,1,3836.000000,Basic
1,gen1,p,134,134,1,3603.000000,Basic
1,gen1,p,135,135,1,3439.000000,Basic
1,gen1,p,136,136,1,3601.000000,Basic
1,gen1,p,137,137,1,3536.000000,Basic
1,gen1,p,138,138,1,3585.000000,Basic
1,gen1,p,139,139,1,3655.000000,Basic
1,gen1,p,140,140,1,3877.000000,Basic
1,gen1,p,141,141,1,3389.000000,Basic
1,gen1,p,142,142,1,3491.000000,Basic
1,gen1,p,143,143,1,4023.000000,Basic
1,gen1,p,144,144,1,4478.000000,Basic
1,gen1,p,145,145,1,4058.000000,Basic
1,gen1,p,146,146,1,3665.000000,Basic
1,gen1,p,147,147,1,3344.000000,Basic
1,gen1,p,148,148,1,2908.000000,Basic
1,gen1,p,149,149,1,2712.000000,Basic
1,gen1,p,150,150,1,2627.000000,Basic
1,gen1,p,151,151,1,3006.000000,Basic
1,gen1,p,152,152,1,3049.000000,Basic
1,gen1,p,153,153,1,3111.000000,Basic
1,gen1,p,154,154,1,3356.000000,Basic
1,gen1,p,155,155,1,3637.000000,Basic
1,gen1,p,156,156,1,3854.000000,Basic
1,gen1,p,157,157,1,4314.000000,Basic
1,gen1,p,158,158,1,4220.000000,Basic
1,gen1,p,159,159,1,4236.000000,Basic
1,gen1,p,160,160,1,4271.000000,Basic
1,gen1,p,161,161,1,4151.000000,Basic
1,gen1,p,162,162,1,4566.000000,Basic
1,gen1,p,163,163,1,4960.000000,Basic
1,gen1,p,164,164,1,4965.000000,Basic
1,gen1,p,165,165,1,4783.000000,Basic
1,gen1,p,166,166,1,4561.000000,Basic
1,gen1,p,167,167,1,4546.000000,Basic
1,gen1,p,168,168,1,4314.000000,Basic
1,gen1,p,1,1,2,3878.000000,Basic
1,gen1,p,2,2,2,3572.000000,Basic
1,gen1,p,3,3,2,3394.000000,Basic
1,gen1,p,4,4,2,3348.000000,Basic
1,gen1,p,5,5,2,3395.000000,Basic
1,gen1,p,6,6,2,3672.000000,Basic
1,gen1,p,7,7,2,4093.000000,Basic
1,gen1,p,8,8,2,4529.000000,Basic
1,gen1,p,9,9,2,4587.000000,Basic
1,gen1,p,10,10,2,4723.000000,Basic
1,gen1,p,11,11,2,4893.000000,Basic
1,gen1,p,12,12,2,4794.000000,Basic
1,gen1,p,13,13,2,4765.000000,Basic
1,gen1,p,14,14,2,4329.000000,Basic
1,gen1,p,15,15,2,4155.000000,Basic
1,gen1,p,16,16,2,4186.000000,Basic
1,gen1,p,17,17,2,4034.000000,Basic
1,gen1,p,18,18,2,4543.000000,Basic
1,gen1,p,19,19,2,5213.000000,Basic
1,gen1,p,20,20,2,5216.000000,Basic
1,gen1,p,21,21,2,4978.000000,Basic
1,gen1,p,22,22,2,4578.000000,Basic
1,gen1,p,23,23,2,4535.000000,Basic
1,gen1,p,24,24,2,4283.000000,Basic
1,gen1,p,25,25,2,4044.000000,Basic
1,gen1,p,26,26,2,3960.000000,Basic
1,gen1,p,27,27,2,3696.000000,Basic
1,gen1,p,28,28,2,3815.000000,Basic
1,gen1,p,29,29,2,3990.000000,Basic
1,gen1,p,30,30,2,4341.000000,Basic
1,gen1,p,31,31,2,4869.000000,Basic
1,gen1,p,32,32,2,5467.000000,Basic
1,gen1,p,33,33,2,5577.000000,Basic
1,gen1,p,34,34,2,5952.000000,Basic
1,gen1,p,35,35,2,5828.000000,Basic
1,gen1,p,36,36,2,5812.000000,Basic
1,gen1,p,37,37,2,5851.000000,Basic
1,gen1,p,38,38,2,5470.000000,Basic
1,gen1,p,39,39,2,5266.000000,Basic
1,gen1,p,40,40,2,5134.000000,Basic
1,gen1,p,41,41,2,5069.000000,Basic
1,gen1,p,42,42,2,5465.000000,Basic
1,gen1,p,43,43,2,5790.000000,Basic
1,gen1,p,44,44,2,5643.000000,Basic
1,gen1,p,45,45,2,5161.000000,Basic
1,gen1,p,46,46,2,5025.000000,Basic
1,gen1,p,47,47,2,5244.000000,Basic
1,gen1,p,48,48,2,5242.000000,Basic
1,gen1,p,49,49,2,4874.000000,Basic
1,gen1,p,50,50,2,4358.000000,Basic
1,gen1,p,51,51,2,4044.000000,Basic
1,gen1,p,52,52,2,3951.000000,Basic
1,gen1,p,53,53,2,3796.000000,Basic
1,gen1,p,54,54,2,4093.000000,Basic
1,gen1,p,55,55,2,4746.000000,Basic
1,gen1,p,56,56,2,5318.000000,Basic
1,gen1,p,57,57,2,5568.000000,Basic
1,gen1,p,58,58,2,5597.000000,Basic
1,gen1,p,59,59,2,5483.000000,Basic
1,gen1,p,60,60,2,5527.000000,Basic
1,gen1,p,61,61,2,5437.000000,Basic
1,gen1,p,62,62,2,4993.000000,Basic
1,gen1,p,63,63,2,4872.000000,Basic
1,gen1,p,64,64,2,4672.000000,Basic
1,gen1,p,65,65,2,4858.000000,Basic
1,gen1,p,66,66,2,5118.000000,Basic
1,gen1,p,67,67,2,5433.000000,Basic
1,gen1,p,68,68,2,5186.000000,Basic
1,gen1,p,69,69,2,4408.000000,Basic
1,gen1,p,70,70,2,4146.000000,Basic
1,gen1,p,71,71,2,4309.000000,Basic
1,gen1,p,72,72,2,4184.000000,Basic
1,gen1,p,73,73,2,3916.000000,Basic
1,gen1,p,74,74,2,3310.000000,Basic
1,gen1,p,75,75,2,3192.000000,Basic
1,gen1,p,76,76,2,3027.000000,Basic
1,gen1,p,77,77,2,2980.000000,Basic
1,gen1,p,78,78,2,2987.000000,Basic
1,gen1,p,79,79,2,3372.000000,Basic
1,gen1,p,80,80,2,3621.000000,Basic
1,gen1,p,81,81,2,3925.000000,Basic
1,gen1,p,82,82,2,4451.000000,Basic
1,gen1,p,83,83,2,4302.000000,Basic
1,gen1,p,84,84,2,4487.000000,Basic
1,gen1,p,85,85,2,4267.000000,Basic
1,gen1,p,86,86,2,3925.000000,Basic
1,gen1,p,87,87,2,3735.000000,Basic
1,gen1,p,88,88,2,3623.000000,Basic
1,gen1,p,89,89,2,3577.000000,Basic
1,gen1,p,90,90,2,4059.000000,Basic
1,gen1,p,91,91,2,4361.000000,Basic
1,gen1,p,92,92,2,4214.000000,Basic
1,gen1,p,93,93,2,4031.000000,Basic
1,gen1,p,94,94,2,3831.000000,Basic
1,gen1,p,95,95,2,4174.000000,Basic
1,gen1,p,96,96,2,4116.000000,Basic
1,gen1,p,97,97,2,3855.000000,Basic
1,gen1,p,98,98,2,3584.000000,Basic
1,gen1,p,99,99,2,3626.000000,Basic
1,gen1,p,100,100,2,3674.000000,Basic
1,gen1,p,101,101,2,3588.000000,Basic
1,gen1,p,102,102,2,3891.000000,Basic
1,gen1,p,103,103,2,4268.000000,Basic
1,gen1,p,104,104,2,4981.000000,Basic
1,gen1,p,105,105,2,5238.000000,Basic
1,gen1,p,106,106,2,5183.000000,Basic
1,gen1,p,107,107,2,5215.000000,Basic
1,gen1,p,108,108,2,5034.000000,Basic
1,gen1,p,109,109,2,4907.000000,Basic
1,gen1,p,110,110,2,4545.000000,Basic
1,gen1,p,111,111,2,4270.000000,Basic
1,gen1,p,112,112,2,3911.000000,Basic
1,gen1,p,113,113,2,4095.000000,Basic
1,gen1,p,114,114,2,4570.000000,Basic
1,gen1,p,115,115,2,4844.000000,Basic
1,gen1,p,116,116,2,4786.000000,Basic
1,gen1,p,117,117,2,4098.000000,Basic
1,gen1,p,118,118,2,3395.000000,Basic
1,gen1,p,119,119,2,3279.000000,Basic
1,gen1,p,120,120,2,3366.000000,Basic
1,gen1,p,121,121,2,3010.000000,Basic
1,gen1,p,122,122,2,2541.000000,Basic
1,gen1,p,123,123,2,2318.000000,Basic
1,gen1,p,124,124,2,1884.000000,Basic
1,gen1,p,125,125,2,1826.000000,Basic
1,gen1,p,126,126,2,1982.000000,Basic
1,gen1,p,127,127,2,2253.000000,Basic
1,gen1,p,128,128,2,2609.000000,Basic
1,gen1,p,129,129,2,3250.000000,Basic
1,gen1,p,130,130,2,3790.000000,Basic
1,gen1,p,131,131,2,3812.000000,Basic
1,gen1,p,132,132,2,3930.000000,Basic
1,gen1,p,133,133,2,3836.000000,Basic
1,gen1,p,134,134,2,3603.000000,Basic
1,gen1,p,135,135,2,3439.000000,Basic
1,gen1,p,136,136,2,3601.000000,Basic
1,gen1,p,137,137,2,3536.000000,Basic
1,gen1,p,138,138,2,3585.000000,Basic
1,gen1,p,139,139,2,3655.000000,Basic
1,gen1,p,140,140,2,3877.000000,Basic
1,gen1,p,141,141,2,3389.000000,Basic
1,gen1,p,142,142,2,3491.000000,Basic
1,gen1,p,143,143,2,4023.000000,Basic
1,gen1,p,144,144,2,4478.000000,Basic
1,gen1,p,145,145,2,4058.000000,Basic
1,gen1,p,146,146,2,3665.000000,Basic
1,gen1,p,147,147,2,3344.000000,Basic
1,gen1,p,148,148,2,2908.000000,Basic
1,gen1,p,149,149,2,2712.000000,Basic
1,gen1,p,150,150,2,2627.000000,Basic
1,gen1,p,151,151,2,3006.000000,Basic
1,gen1,p,152,152,2,3049.000000,Basic
1,gen1,p,153,153,2,3111.000000,Basic
1,gen1,p,154,154,2,3356.000000,Basic
1,gen1,p,155,155,2,3637.000000,Basic
1,gen1,p,156,156,2,3854.000000,Basic
1,gen1,p,157,157,2,4314.000000,Basic
1,gen1,p,158,158,2,4220.000000,Basic
1,gen1,p,159,159,2,4236.000000,Basic
1,gen1,p,160,160,2,4271.000000,Basic
1,gen1,p,161,161,2,4151.000000,Basic
1,gen1,p,162,162,2,4566.000000,Basic
1,gen1,p,163,163,2,4960.000000,Basic
1,gen1,p,164,164,2,4965.000000,Basic
1,gen1,p,165,165,2,4783.000000,Basic
1,gen1,p,166,166,2,4561.000000,Basic
1,gen1,p,167,167,2,4546.000000,Basic
1,gen1,p,168,168,2,4314.000000,Basic
